week_start,week_end,expected_high,expected_low
7/6/20,7/10/20,320.483,303.977
6/29/20,7/2/20,310.6,290.4
6/22/20,6/26/20,319.13,297.51
6/15/20,6/19/20,316.87,291.55
6/8/20,6/12/20,327.301,311.379
6/1/20,6/5/20,312.403,296.238
5/26/20,5/29/20,302.724,288.157
5/18/20,5/22/20,295.642,276.918
5/11/20,5/15/20,300.464,284.416
5/4/20,5/8/20,293.641,271.939
4/27/20,5/1/20,292.67,273.27
4/20/20,4/24/20,290.105,267.815
4/13/20,4/17/20,291.831,264.569
4/6/20,4/9/20,259.941,236.439
3/30/20,4/3/20,274.065,232.775
3/23/20,3/27/20,251.554,206.046
3/16/20,3/20/20,292.32,246.32
3/9/20,3/13/20,313.532,281.388
3/2/20,3/6/20,314.46,278.06
2/24/20,2/28/20,338.75,328.24
2/18/20,2/21/20,341.637,333.563
2/10/20,2/14/20,337.326,327.078
2/3/20,2/7/20,327.82,315.64
1/27/20,1/31/20,334.037,323.504
1/21/20,1/24/20,334.07,329.83
1/13/20,1/17/20,329.14,322.28
1/6/20,1/10/20,325.54,319.28
12/30/19,1/3/20,326.23,319.5
12/23/19,12/27/19,324.21,317.23
12/16/19,12/20/19,320.94,313.71
12/9/19,12/13/19,318.19,311.56
12/2/19,12/6/19,317.69,310.92
11/25/19,11/29/19,314.56,307.39
11/18/19,11/22/19,315.3,308.25
11/11/19,11/15/19,312.52,305.36
11/4/19,11/8/19,309.85,302.44
10/28/19,11/1/19,305.2,298.01
10/21/19,10/25/19,301.78,294.15
10/14/19,10/18/19,300.29,292.26
10/7/19,10/11/19,298.93,289.74
9/30/19,10/4/19,300.01,290.78
9/23/19,9/27/19,302.43,294.13
9/16/19,9/20/19,304.78,297.4
9/9/19,9/13/19,302.2,293.9
9/3/19,9/6/19,297.49,287.39
8/26/19,8/30/19,290.1,279.6
8/19/19,8/23/19,293.75,283.94
8/12/19,8/16/19,296.31,286.95
8/5/19,8/9/19,296.85,288.33
7/29/19,8/2/19,305.18,298.86
7/22/19,7/26/19,301.06,293.26
7/15/19,7/19/19,303.86,297.49
7/8/19,7/12/19,301.94,295
7/1/19,7/5/19,296.96,289.04
6/24/19,6/28/19,298.09,289.87
6/17/19,6/21/19,293.19,285.34
6/10/19,6/14/19,291.85,283.44
6/3/19,6/7/19,279.93,270.63
5/28/19,5/31/19,286.9,278.63
5/20/19,5/24/19,290,281.63
5/13/19,5/17/19,292.32,283.8
5/6/19,5/10/19,297.17,290.87
4/29/19,5/3/19,296.5,290.25
4/22/19,4/26/19,293.19,286.85
4/15/19,4/19/19,293.19,287.14
4/8/19,4/12/19,291.9,285.2
4/1/19,4/5/19,286.06,278.93
3/25/19,3/29/19,283.33,275.11
3/18/19,3/22/19,284.55,278.14
3/11/19,3/15/19,278.36,270.58
3/4/19,3/8/19,283.9,276.92
2/25/19,3/1/19,282.52,275.62
2/19/19,2/22/19,281.24,273.46
2/11/19,2/15/19,274.39,266.54
2/4/19,2/8/19,273.17,266.98
1/28/19,2/1/19,269.28,262.08
1/22/19,1/25/19,270.58,262.18
1/14/19,1/18/19,263.19,254.6
1/7/19,1/11/19,256.42,248.22
12/31/18,1/4/19,253.59,241.95
12/24/18,12/28/18,247.01,234.37
12/17/18,12/21/18,266.63,254.29
